Query,RetrievedDocuments
40024.query,VOM19980223.0900.1900 VOM19980223.0900.3502 VOM19980527.0730.0233 VOM19980604.0900.0246 VOM19980422.0900.0246 
40025.query,VOM19980225.0900.0458 VOM19980604.0900.0246 VOM19980624.0900.0261 VOM19980302.0900.0368 VOM19980610.0730.0140 
40026.query,VOM19980319.0700.0352 VOM19980507.0900.0269 VOM19980305.0700.0560 VOM19980316.0700.0219 VOM19980530.0700.0260 
40027.query,VOM19980225.0900.2949 VOM19980222.0700.0448 VOM19980220.0700.1159 VOM19980316.0900.2774 VOM19980511.0900.0039 
40028.query,VOM19980511.0900.0097 VOM19980526.0730.0098 VOM19980526.0700.0245 VOM19980526.0900.0153 VOM19980602.0730.0002 
40029.query,VOM19980616.0900.0100 VOM19980616.0730.0180 VOM19980618.0700.0187 VOM19980403.0900.0619 VOM19980316.0900.2774 
40030.query,VOM19980610.0730.0140 VOM19980220.0900.3504 VOM19980616.0700.0538 VOM19980527.0730.0233 VOM19980619.0700.0553 
40031.query,VOM19980614.0700.0458 VOM19980619.0700.0392 VOM19980618.0900.0242 VOM19980602.0730.0102 VOM19980602.0900.0035 
40032.query,VOM19980325.0900.0905 VOM19980603.0700.0169 VOM19980302.0900.0670 VOM19980527.0700.0163 VOM19980527.0730.0079 
40033.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980226.0900.2027 VOM19980511.0900.0039 VOM19980317.0900.2819 
40034.query,VOM19980220.0900.3504 VOM19980508.0700.0318 VOM19980521.0900.0254 VOM19980520.0900.0248 VOM19980220.0900.0330 
40035.query,VOM19980227.0900.0358 VOM19980225.0900.0458 VOM19980220.0900.0330 VOM19980424.0900.0246 VOM19980303.0700.0696 
40036.query,VOM19980623.0900.0051 VOM19980317.0700.0156 VOM19980619.0900.0136 VOM19980317.0700.3639 VOM19980604.0700.0126 
40037.query,VOM19980618.0700.0114 VOM19980507.0700.0457 VOM19980317.0900.2819 VOM19980630.0900.0005 VOM19980630.0730.0002 
40038.query,VOM19980511.0730.0066 VOM19980225.0900.2949 VOM19980327.0900.1545 VOM19980222.0700.0448 VOM19980404.0700.1061 
40039.query,VOM19980623.0900.0051 VOM19980627.0700.0022 VOM19980627.0730.0001 VOM19980317.0700.0156 VOM19980314.0700.1261 
40040.query,VOM19980630.0900.0005 VOM19980630.0730.0002 VOM19980630.0700.0032 VOM19980312.0900.2408 VOM19980220.0700.1159 
40041.query,VOM19980605.0700.0528 VOM19980605.0700.0560 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980627.0700.0466 
40042.query,VOM19980602.0730.0163 VOM19980403.0900.3074 VOM19980625.0730.0124 VOM19980625.0700.0205 VOM19980223.0900.1900 
40043.query,VOM19980510.0730.0142 VOM19980618.0700.0144 VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 
40044.query,VOM19980325.0900.3063 VOM19980505.0700.0384 VOM19980509.0700.0447 VOM19980312.0900.1930 VOM19980317.0900.0330 
40045.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980524.0730.0031 VOM19980228.0700.2757 
40046.query,VOM19980507.0700.0521 VOM19980520.0900.0042 VOM19980511.0700.0080 VOM19980511.0700.0080 VOM19980618.0730.0119 
40047.query,VOM19980319.0900.0364 VOM19980305.0900.0492 VOM19980222.0700.2148 VOM19980317.0900.0192 VOM19980317.0900.0192 
40048.query,VOM19980623.0900.0051 VOM19980511.0900.0039 VOM19980222.0700.0448 VOM19980326.0700.0452 VOM19980403.0700.0727 
40049.query,VOM19980623.0900.0051 VOM19980511.0900.0039 VOM19980222.0700.0448 VOM19980620.0730.0003 VOM19980620.0700.0040 
40050.query,VOM19980403.0900.0619 VOM19980616.0730.0180 VOM19980507.0900.0113 VOM19980616.0900.0100 VOM19980507.0730.0143 
40051.query,VOM19980511.0900.0039 VOM19980511.0730.0066 VOM19980222.0700.0448 VOM19980625.0730.0090 VOM19980220.0700.1159 
40052.query,VOM19980604.0700.0126 VOM19980604.0730.0077 VOM19980604.0700.0157 VOM19980630.0700.0238 VOM19980630.0700.0238 
40053.query,VOM19980521.0730.0029 VOM19980521.0730.0029 VOM19980304.0700.0271 VOM19980304.0900.0211 VOM19980521.0730.0004 
40054.query,VOM19980612.0900.0168 VOM19980612.0730.0117 VOM19980530.0700.0318 VOM19980530.0700.0318 VOM19980612.0700.0257 
40055.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980326.0900.1939 VOM19980222.0700.0448 VOM19980316.0900.2774 
40056.query,VOM19980618.0700.0114 VOM19980306.0700.0593 VOM19980507.0700.0546 VOM19980529.0700.0392 VOM19980303.0700.0590 
40057.query,VOM19980317.0900.2819 VOM19980316.0900.2774 VOM19980325.0900.3063 VOM19980225.0900.2949 VOM19980220.0900.2583 
40058.query,VOM19980506.0900.0225 VOM19980506.0700.0287 VOM19980403.0900.0619 VOM19980616.0730.0180 VOM19980616.0900.0100 
40059.query,VOM19980404.0700.1061 VOM19980511.0730.0066 VOM19980515.0730.0248 VOM19980225.0900.2949 VOM19980511.0900.0039 
40060.query,VOM19980611.0900.0042 VOM19980228.0700.1896 VOM19980611.0730.0156 VOM19980623.0700.0314 VOM19980603.0700.0282 
40061.query,VOM19980223.0700.2728 VOM19980222.0700.1986 VOM19980423.0900.0201 VOM19980222.0700.2148 VOM19980317.0900.3162 
40062.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980604.0700.0126 VOM19980221.0700.2442 
40063.query,VOM19980510.0730.0142 VOM19980618.0700.0144 VOM19980226.0900.3196 VOM19980325.0900.3063 VOM19980226.0900.2027 
40064.query,VOM19980511.0730.0066 VOM19980511.0900.0039 VOM19980511.0700.0105 VOM19980404.0700.1061 VOM19980225.0900.2949 
40065.query,VOM19980511.0700.0105 VOM19980511.0730.0066 VOM19980511.0900.0039 VOM19980225.0900.2949 VOM19980404.0700.1061 
40066.query,VOM19980317.0700.2420 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980326.0900.1939 VOM19980325.0900.3063 
40067.query,VOM19980312.0900.0825 VOM19980610.0700.0551 VOM19980611.0700.0548 VOM19980618.0700.0542 VOM19980602.0700.0547 
40068.query,VOM19980325.0900.3063 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980327.0900.1545 VOM19980511.0900.0039 
40069.query,VOM19980605.0730.0189 VOM19980605.0900.0196 VOM19980605.0700.0227 VOM19980317.0900.2174 VOM19980225.0900.0714 
40070.query,VOM19980606.0730.0212 VOM19980220.0700.1297 VOM19980305.0900.2335 VOM19980511.0700.0543 VOM19980303.0700.2491 
40071.query,VOM19980316.0900.2774 VOM19980326.0900.1939 VOM19980327.0900.1545 VOM19980319.0700.0722 VOM19980317.0900.2819 
40072.query,VOM19980509.0700.0043 VOM19980222.0700.0448 VOM19980511.0900.0039 VOM19980404.0700.1061 VOM19980403.0900.0124 
40073.query,VOM19980225.0900.2949 VOM19980404.0700.1061 VOM19980511.0900.0039 VOM19980511.0730.0066 VOM19980326.0700.2359 
40074.query,VOM19980618.0700.0114 VOM19980403.0900.0619 VOM19980316.0900.2774 VOM19980620.0700.0093 VOM19980220.0700.2208 
40075.query,VOM19980225.0900.2949 VOM19980620.0730.0003 VOM19980403.0700.1169 VOM19980326.0700.2359 VOM19980326.0900.2164 
40076.query,VOM19980316.0900.2774 VOM19980314.0700.0275 VOM19980314.0700.0275 VOM19980404.0700.1061 VOM19980504.0730.0100 
40077.query,VOM19980511.0900.0039 VOM19980511.0730.0066 VOM19980225.0900.2949 VOM19980403.0700.0129 VOM19980511.0700.0105 
40078.query,VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980614.0700.0431 VOM19980404.0700.1061 VOM19980511.0900.0039 
40079.query,VOM19980612.0900.0168 VOM19980612.0730.0117 VOM19980530.0700.0318 VOM19980530.0700.0318 VOM19980612.0700.0257 
40080.query,VOM19980222.0700.1986 VOM19980223.0700.2728 VOM19980226.0900.2027 VOM19980326.0900.1939 VOM19980403.0900.3074 
40081.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980316.0900.2774 VOM19980312.0900.2408 VOM19980222.0700.0448 
40082.query,VOM19980225.0900.2949 VOM19980403.0900.0619 VOM19980220.0700.1159 VOM19980316.0900.2774 VOM19980317.0900.2819 
40083.query,VOM19980317.0900.2819 VOM19980403.0900.0619 VOM19980316.0900.2774 VOM19980325.0900.3063 VOM19980404.0700.0676 
40084.query,VOM19980225.0900.2949 VOM19980403.0900.0431 VOM19980327.0900.1545 VOM19980511.0900.0039 VOM19980403.0700.0129 
40085.query,VOM19980511.0730.0066 VOM19980404.0700.1061 VOM19980511.0900.0039 VOM19980404.0700.0676 VOM19980327.0900.1545 
40086.query,VOM19980317.0900.2819 VOM19980403.0900.0619 VOM19980316.0900.2774 VOM19980225.0900.2949 VOM19980327.0900.1545 
40087.query,VOM19980511.0730.0066 VOM19980511.0900.0039 VOM19980316.0900.2774 VOM19980404.0700.1061 VOM19980404.0700.0676 
40088.query,VOM19980302.0700.0653 VOM19980616.0900.0100 VOM19980616.0730.0180 VOM19980327.0900.1545 VOM19980316.0900.2774 
40089.query,VOM19980618.0700.0114 VOM19980305.0900.1967 VOM19980305.0900.0295 VOM19980626.0700.0131 VOM19980626.0730.0070 
40090.query,VOM19980404.0700.1061 VOM19980326.0700.3398 VOM19980416.0900.0171 VOM19980605.0700.0560 VOM19980327.0900.1545 
40091.query,VOM19980620.0700.0093 VOM19980620.0730.0034 VOM19980223.0900.0886 VOM19980224.0900.3453 VOM19980225.0900.1275 
40092.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980316.0900.2774 VOM19980225.0900.2949 VOM19980226.0900.2027 
40093.query,VOM19980404.0700.0406 VOM19980403.0700.0185 VOM19980410.0900.0207 VOM19980326.0900.0371 VOM19980223.0700.2728 
40094.query,VOM19980511.0900.0039 VOM19980327.0900.1545 VOM19980511.0730.0066 VOM19980326.0900.1939 VOM19980225.0900.2949 
40095.query,VOM19980222.0700.0448 VOM19980327.0900.1545 VOM19980404.0700.1061 VOM19980511.0900.0039 VOM19980511.0730.0066 
40096.query,VOM19980511.0900.0039 VOM19980222.0700.0448 VOM19980620.0730.0003 VOM19980511.0730.0066 VOM19980225.0900.2949 
40097.query,VOM19980315.0700.2184 VOM19980314.0700.0275 VOM19980314.0700.0275 VOM19980316.0900.3433 VOM19980224.0700.0588 
40098.query,VOM19980511.0900.0039 VOM19980625.0730.0090 VOM19980511.0730.0066 VOM19980403.0700.0129 VOM19980404.0700.1061 
40099.query,VOM19980511.0900.0039 VOM19980222.0700.0448 VOM19980404.0700.1061 VOM19980511.0730.0066 VOM19980403.0700.1169 
40100.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980611.0700.0211 VOM19980611.0730.0120 VOM19980611.0900.0216 
40101.query,VOM19980305.0700.0495 VOM19980602.0730.0163 VOM19980530.0700.0318 VOM19980530.0700.0318 VOM19980423.0900.0201 
40102.query,VOM19980222.0700.0448 VOM19980511.0900.0039 VOM19980621.0700.0052 VOM19980301.0700.0136 VOM19980403.0900.3074 
40103.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980222.0700.0448 VOM19980316.0700.0649 VOM19980403.0900.3074 
40104.query,VOM19980511.0900.0039 VOM19980225.0900.2949 VOM19980316.0900.2774 VOM19980511.0730.0066 VOM19980403.0900.3074 
40105.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980306.0700.0671 VOM19980611.0730.0120 VOM19980611.0700.0211 
40106.query,VOM19980403.0900.0124 VOM19980511.0900.0039 VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980404.0700.1061 
40107.query,VOM19980630.0730.0136 VOM19980316.0900.3433 VOM19980315.0700.2184 VOM19980314.0700.0275 VOM19980314.0700.0275 
40108.query,VOM19980620.0730.0003 VOM19980222.0700.0448 VOM19980220.0700.1159 VOM19980222.0700.0302 VOM19980225.0900.2949 
40109.query,VOM19980403.0900.3074 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980223.0900.1900 VOM19980223.0900.3502 
40110.query,VOM19980222.0700.0448 VOM19980620.0730.0003 VOM19980620.0700.0040 VOM19980621.0700.0052 VOM19980316.0900.2774 
40111.query,VOM19980303.0700.0696 VOM19980316.0900.1918 VOM19980504.0700.0268 VOM19980302.0900.0368 VOM19980624.0700.0288 
40112.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980226.0900.3196 VOM19980618.0700.0234 VOM19980317.0900.2819 
40113.query,VOM19980325.0900.0905 VOM19980302.0900.0670 VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980527.0700.0163 
40114.query,VOM19980228.0700.2873 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980317.0900.2819 VOM19980303.0700.2491 
40115.query,VOM19980326.0900.1939 VOM19980226.0900.2027 VOM19980225.0900.2949 VOM19980223.0700.1993 VOM19980327.0900.1545 
40116.query,VOM19980327.0900.1287 VOM19980305.0900.1967 VOM19980305.0900.0295 VOM19980224.0900.0364 VOM19980422.0900.0021 
40117.query,VOM19980613.0700.0555 VOM19980609.0900.0205 VOM19980627.0700.0572 VOM19980607.0700.0385 VOM19980607.0700.0385 
40118.query,VOM19980504.0730.0100 VOM19980504.0700.0268 VOM19980302.0700.0653 VOM19980302.0900.0670 VOM19980527.0700.0163 
40119.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980326.0700.3398 VOM19980302.0700.3070 VOM19980226.0900.3196 
40120.query,VOM19980316.0900.3433 VOM19980224.0700.0588 VOM19980630.0730.0136 VOM19980504.0700.0268 VOM19980504.0730.0100 
40121.query,VOM19980225.0900.0458 VOM19980325.0900.0356 VOM19980316.0700.0649 VOM19980604.0900.0246 VOM19980624.0900.0261 
40122.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980326.0900.1939 VOM19980305.0700.0495 VOM19980621.0700.0052 
40123.query,VOM19980302.0900.0670 VOM19980326.0700.0480 VOM19980404.0700.1788 VOM19980527.0730.0079 VOM19980527.0700.0163 
40124.query,VOM19980222.0700.1986 VOM19980223.0700.2728 VOM19980603.0900.0203 VOM19980616.0700.0515 VOM19980305.0900.2335 
40125.query,VOM19980319.0900.0364 VOM19980403.0700.0727 VOM19980319.0900.0451 VOM19980317.0700.1338 VOM19980317.0900.0192 
40126.query,VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980403.0900.0431 VOM19980403.0900.3300 VOM19980403.0900.0124 
40127.query,VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980404.0700.0676 VOM19980403.0900.3300 VOM19980403.0900.0124 
40128.query,VOM19980404.0700.0406 VOM19980616.0700.0538 VOM19980403.0900.2079 VOM19980403.0700.0185 VOM19980611.0700.0548 
40129.query,VOM19980403.0900.2034 VOM19980404.0700.1061 VOM19980403.0700.0129 VOM19980403.0900.3300 VOM19980403.0900.0124 
40130.query,VOM19980220.0900.2583 VOM19980404.0700.0676 VOM19980403.0900.2034 VOM19980325.0900.3425 VOM19980404.0700.1061 
40131.query,VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980403.0900.0124 VOM19980403.0900.3300 VOM19980404.0700.0676 
40132.query,VOM19980403.0700.0129 VOM19980403.0900.2034 VOM19980403.0900.0124 VOM19980403.0900.3300 VOM19980404.0700.1061 
40133.query,VOM19980302.0700.3552 VOM19980325.0900.0905 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980403.0700.1459 
40134.query,VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980403.0900.3300 VOM19980403.0900.0124 VOM19980403.0900.0431 
40135.query,VOM19980327.0900.1545 VOM19980511.0900.0039 VOM19980620.0730.0003 VOM19980222.0700.0448 VOM19980404.0700.0676 
40136.query,VOM19980228.0700.0268 VOM19980618.0700.0187 VOM19980507.0730.0263 VOM19980316.0900.2774 VOM19980326.0700.2359 
40137.query,VOM19980220.0900.3504 VOM19980504.0730.0100 VOM19980504.0700.0268 VOM19980315.0700.2184 VOM19980316.0900.3433 
40138.query,VOM19980220.0900.3504 VOM19980220.0700.0620 VOM19980526.0730.0266 VOM19980619.0700.0553 VOM19980617.0730.0161 
40139.query,VOM19980404.0700.0676 VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980325.0900.3425 VOM19980325.0900.3393 
40140.query,VOM19980505.0700.0384 VOM19980325.0900.3063 VOM19980509.0700.0447 VOM19980317.0900.0330 VOM19980312.0900.1930 
40141.query,VOM19980302.0700.0653 VOM19980302.0900.0670 VOM19980325.0900.3063 VOM19980618.0900.0204 VOM19980404.0700.0406 
40142.query,VOM19980430.0900.0231 VOM19980618.0730.0119 VOM19980317.0700.0510 VOM19980604.0900.0246 VOM19980316.0700.0649 
40143.query,VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980403.0900.0124 VOM19980403.0900.3300 VOM19980403.0900.0431 
40144.query,VOM19980319.0700.2536 VOM19980627.0700.0466 VOM19980501.0730.0037 VOM19980501.0900.0067 VOM19980505.0700.0344 
40145.query,VOM19980319.0700.0352 VOM19980326.0700.0480 VOM19980530.0700.0260 VOM19980630.0730.0136 VOM19980511.0900.0039 
40146.query,VOM19980520.0900.0042 VOM19980507.0700.0521 VOM19980511.0700.0080 VOM19980511.0700.0080 VOM19980225.0700.0701 
40147.query,VOM19980224.0700.0330 VOM19980403.0700.0259 VOM19980220.0700.2208 VOM19980505.0700.0344 VOM19980505.0700.0344 
40148.query,VOM19980624.0700.0288 VOM19980630.0730.0136 VOM19980316.0900.3433 VOM19980504.0700.0268 VOM19980504.0730.0100 
40149.query,VOM19980326.0700.0480 VOM19980504.0700.0222 VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980403.0700.0259 
40150.query,VOM19980223.0900.1900 VOM19980223.0900.3502 VOM19980415.0900.0272 VOM19980526.0730.0266 VOM19980520.0900.0248 
40151.query,VOM19980325.0900.3393 VOM19980325.0900.3425 VOM19980220.0900.0330 VOM19980624.0900.0261 VOM19980316.0700.0649 
40152.query,VOM19980316.0900.2774 VOM19980222.0700.0448 VOM19980326.0700.2359 VOM19980317.0900.2819 VOM19980326.0900.2164 
40153.query,VOM19980317.0700.2420 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980316.0900.2774 VOM19980327.0900.1545 
40154.query,VOM19980430.0900.0231 VOM19980302.0900.0368 VOM19980521.0900.0254 VOM19980317.0700.0510 VOM19980604.0900.0246 
40155.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980611.0730.0120 VOM19980611.0700.0211 VOM19980611.0900.0216 
40156.query,VOM19980319.0700.0352 VOM19980504.0700.0222 VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980305.0700.0560 
40157.query,VOM19980316.0900.2774 VOM19980326.0900.1939 VOM19980327.0900.1545 VOM19980226.0900.2027 VOM19980616.0900.0100 
40158.query,VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980624.0700.0158 VOM19980319.0700.0352 VOM19980504.0700.0222 
40159.query,VOM19980316.0900.2774 VOM19980403.0900.0619 VOM19980618.0700.0114 VOM19980317.0900.2819 VOM19980222.0700.0448 
40160.query,VOM19980618.0700.0114 VOM19980317.0900.2819 VOM19980626.0700.0131 VOM19980403.0900.0619 VOM19980626.0730.0070 
40161.query,VOM19980327.0900.1545 VOM19980225.0900.2949 VOM19980326.0900.1939 VOM19980403.0700.1169 VOM19980504.0730.0100 
40162.query,VOM19980315.0700.1857 VOM19980315.0700.0180 VOM19980521.0730.0004 VOM19980521.0730.0004 VOM19980302.0900.0510 
40163.query,VOM19980304.0900.0903 VOM19980316.0900.0163 VOM19980316.0900.1824 VOM19980305.0700.0436 VOM19980316.0900.3359 
40164.query,VOM19980305.0700.0560 VOM19980301.0700.0136 VOM19980504.0700.0222 VOM19980625.0700.0205 VOM19980507.0730.0263 
40165.query,VOM19980504.0700.0222 VOM19980305.0700.0560 VOM19980326.0700.0480 VOM19980507.0730.0263 VOM19980505.0700.0344 
40166.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980524.0730.0031 VOM19980228.0700.2757 
40167.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980228.0700.2757 VOM19980305.0900.0413 
40168.query,VOM19980315.0700.2184 VOM19980314.0700.0275 VOM19980314.0700.0275 VOM19980224.0700.0588 VOM19980316.0900.3433 
40169.query,VOM19980226.0900.0245 VOM19980327.0900.1937 VOM19980220.0700.0166 VOM19980531.0700.0380 VOM19980530.0700.0166 
40170.query,VOM19980326.0900.3491 VOM19980630.0900.0105 VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980305.0900.0413 
40171.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980524.0730.0031 VOM19980604.0730.0077 
40172.query,VOM19980326.0900.1939 VOM19980325.0900.0905 VOM19980327.0900.1545 VOM19980316.0900.2774 VOM19980317.0900.1247 
40173.query,VOM19980326.0900.1939 VOM19980404.0700.0406 VOM19980618.0730.0119 VOM19980220.0700.0620 VOM19980325.0900.3063 
40174.query,VOM19980228.0700.0268 VOM19980316.0900.2774 VOM19980312.0900.2408 VOM19980222.0700.0448 VOM19980618.0700.0114 
40175.query,VOM19980305.0700.0560 VOM19980302.0900.0510 VOM19980301.0700.0136 VOM19980303.0700.1291 VOM19980403.0700.0129 
40176.query,VOM19980223.0900.1900 VOM19980223.0900.3502 VOM19980618.0700.0114 VOM19980316.0900.2774 VOM19980222.0700.0448 
40177.query,VOM19980306.0700.0671 VOM19980305.0700.0495 VOM19980404.0700.1061 VOM19980530.0700.0318 VOM19980530.0700.0318 
40178.query,VOM19980404.0700.0406 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980325.0900.3063 VOM19980403.0700.1459 
40179.query,VOM19980301.0700.0136 VOM19980304.0900.0211 VOM19980304.0700.0271 VOM19980305.0700.0560 VOM19980302.0900.0510 
40180.query,VOM19980302.0900.0670 VOM19980326.0900.1939 VOM19980302.0700.0653 VOM19980327.0900.1545 VOM19980316.0900.3018 
40181.query,VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980326.0900.1939 VOM19980317.0700.2420 VOM19980621.0700.0488 
40182.query,VOM19980511.0900.0039 VOM19980220.0900.3360 VOM19980326.0900.0118 VOM19980326.0700.0452 VOM19980522.0730.0037 
40183.query,VOM19980317.0900.2819 VOM19980316.0900.2774 VOM19980403.0900.0619 VOM19980325.0900.3063 VOM19980404.0700.0676 
40184.query,VOM19980327.0900.1545 VOM19980326.0900.1939 VOM19980220.0700.2208 VOM19980222.0700.0448 VOM19980627.0700.0466 
40185.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980505.0700.0384 VOM19980317.0900.0330 VOM19980509.0700.0043 
40186.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980220.0900.2583 VOM19980524.0730.0031 
40187.query,VOM19980312.0900.0825 VOM19980602.0730.0163 VOM19980626.0700.0131 VOM19980325.0900.3063 VOM19980428.0900.0080 
40188.query,VOM19980222.0700.0448 VOM19980404.0700.1061 VOM19980325.0900.3063 VOM19980326.0700.2359 VOM19980326.0900.2164 
40189.query,VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980220.0900.3504 VOM19980630.0730.0136 VOM19980316.0900.3433 
40190.query,VOM19980325.0900.3393 VOM19980222.0700.0448 VOM19980325.0900.3425 VOM19980404.0700.0676 VOM19980404.0700.1061 
40191.query,VOM19980327.0900.1545 VOM19980220.0700.2208 VOM19980618.0700.0234 VOM19980316.0900.3018 VOM19980403.0700.0259 
40192.query,VOM19980305.0700.0436 VOM19980403.0900.0619 VOM19980316.0900.2774 VOM19980225.0900.2949 VOM19980616.0900.0100 
40193.query,VOM19980620.0700.0552 VOM19980613.0700.0555 VOM19980612.0730.0286 VOM19980630.0700.0556 VOM19980630.0700.0507 
40194.query,VOM19980325.0900.3063 VOM19980505.0700.0384 VOM19980509.0700.0447 VOM19980312.0900.1930 VOM19980527.0900.0260 
40195.query,VOM19980630.0730.0136 VOM19980316.0900.3433 VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980504.0700.0222 
40196.query,VOM19980607.0700.0422 VOM19980511.0700.0080 VOM19980511.0700.0080 VOM19980326.0700.2359 VOM19980326.0900.2164 
